,Shrt_Desc,Water_(g),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Copper_mg),Panto_Acid_mg),Vit_A_IU,Vit_A_RAE,Vit_D_µg,Vit_D_IU,FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_K_(g),Cholestrl_(g)
10,"PORK,FRSH,COMP OF RTL CUTS (LOIN & SHLDR BLADE),LN & FAT,RAW",69.13,20.08,10.14,0.95,0.0,0.0,0.0,0.07,0.903,7.0,2.0,0.5,22.0,3.106,3.768,1.122,28.0,1 oz,453.6,1 lb,22.0,0.016,0.00074,0.023,0.205,0.345,0.054,0.0020099999999999996,1e-05,0.00031600000000000004,0.0001,0.0005819999999999999,0.00023799999999999998,0.005452,0.000625,1e-05,0.0,1e-05,1e-05,0.0507,6.4e-06,2e-05,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.065
11,"TEA,RTD,UNSWTND,WENDY'S,FAST FD,WO/ ICE",99.79,0.22,0.0,0.04,0.0,,,0.008,0.009,,,,,0.0,0.0,0.0,30.0,1 fluid ounce,,,0.0,0.002,0.0,0.001,0.001,0.014,0.003,1e-05,0.000136,0.0,,1.7999999999999997e-05,2.4e-05,0.0,0.0,,,,,,,,,,,,,,,
12,"PRUNES,DEHYD (LOW-MOISTURE),UNCKD",4.0,3.7,0.73,2.5,89.07,,,0.611,0.418,1762.0,88.0,0.0,0.0,0.059,0.483,0.159,132.0,1 cup,,,0.0,0.072,0.00352,0.064,0.112,1.058,0.005,0.00075,0.000312,,0.0,0.000118,0.000165,0.0029950000000000003,0.000745,2e-05,0.0,2e-05,2e-05,,0.0,0.0,,,,,,,,0.0
13,"CEREALS RTE,QUAKER,100% NAT GRANOLA,OATS,WHEAT & HONEY",2.19,10.55,11.62,1.98,73.65,10.2,20.34,0.312,,8.0,2.0,0.0,0.0,1.24,6.6,2.68,48.0,".5 cup,  (1 NLEA serving)",,,0.0,0.109,0.00281,0.121,0.392,0.483,0.05,0.0029500000000000004,,0.000173,0.0002,0.00041099999999999996,0.000289,0.0023079999999999997,0.000231,0.00037,0.0,0.00037,0.00037,0.035,1.7e-06,2e-05,0.0,1e-05,0.0,0.0,0.0013,0.0013,7e-05,0.002
14,"LONGANS,RAW",82.75,1.31,0.1,0.7,15.14,1.1,,0.169,,,,,,,,,3.0,"1 fruit, without refuse",,,47.0,0.001,0.00013000000000000002,0.01,0.021,0.266,0.0,5e-05,5.2e-05,,0.084,3.1e-05,0.00014000000000000001,0.0003,,,,,,,0.0,,,,,,,,,0.0
15,"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN & FAT,RAW",69.18,17.42,12.36,0.83,0.0,0.0,0.0,0.096,1.447,8.0,2.0,0.7,30.0,4.348,5.206,1.597,85.0,3 oz,288.0,"1 steak, without refuse (Yield from 1 raw steak, with refuse, weighing 380g)",24.0,0.016,0.0011200000000000001,0.02,0.19,0.318,0.061,0.00309,1.1e-05,0.00026199999999999997,0.0,0.0005200000000000001,0.00035299999999999996,0.004239,0.000486,0.0,0.0,0.0,0.0,0.0733,9.100000000000001e-06,2e-05,0.0,0.0,0.0,0.0,0.0,0.00022,0.0,0.062
16,"BEEF,RND,BTTM RND RST,LN,1/8"" FAT,SEL,CKD,RSTD",66.61,28.45,4.67,1.15,0.0,0.0,0.0,0.079,0.561,0.0,0.0,0.1,3.0,1.608,1.951,0.207,28.0,1 oz,453.6,1 lb,12.0,0.006,0.00235,0.019,0.183,0.238,0.038,0.00492,1e-05,0.00035600000000000003,0.0,6.8e-05,0.000154,0.004893,0.000375,0.0001,0.0,0.0001,0.0001,0.1083,1.4599999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00035999999999999997,1.3000000000000001e-05,0.074
17,"SOUP,CRM OF MUSHROOM,CND,COND,RED NA",87.26,1.21,1.69,1.69,8.1,0.6,2.13,0.22,,8.0,2.0,0.0,0.0,0.53,0.44,0.56,251.0,1 cup,,,0.0,0.013,0.00047999999999999996,0.005,0.051,0.374,0.383,0.00035999999999999997,5.9e-05,1.8e-05,0.0,4.2000000000000004e-05,0.000192,0.00017,4e-05,0.0001,2e-05,8e-05,0.00011,0.009699999999999999,2e-07,2e-05,0.0,0.0,0.0,0.0,0.0,0.00016,4e-06,0.003
18,"CHESTNUTS,EUROPEAN,RAW,PEELED",52.0,1.63,1.25,0.96,44.17,,,0.418,0.476,26.0,1.0,0.0,0.0,0.235,0.43,0.493,28.0,1 oz,,,0.0,0.019,0.00094,0.03,0.038,0.484,0.002,0.00049,0.00033600000000000004,,0.0402,0.00014399999999999998,1.6e-05,0.0011020000000000001,0.000352,0.00058,0.0,0.00058,0.00058,,0.0,0.0,,,,,,,,0.0
19,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,ALL GRDS,CKD",52.77,26.42,19.71,1.09,0.0,0.0,0.0,0.112,0.36,0.0,0.0,0.3,13.0,7.77,8.46,0.71,85.0,3 oz,285.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",13.0,0.009,0.00268,0.023,0.208,0.319,0.063,0.006,1.4999999999999999e-05,0.00019800000000000002,0.0,8.999999999999999e-05,0.00022,0.00372,0.00034,7e-05,0.0,7e-05,7e-05,0.1006,2.47e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00017999999999999998,1.8e-05,0.087
20,"CORN,SWT,YEL,FRZ,KRNLS,CUT OFF COB,BLD,DRND,W/SALT",77.03,2.55,0.67,1.03,18.71,2.4,3.07,0.048,0.151,199.0,10.0,0.0,0.0,0.066,0.126,0.203,165.0,1 cup,284.0,"1 package,  (10 oz) yields",0.0,0.003,0.00047,0.028,0.079,0.233,0.245,0.00063,0.000155,7e-06,0.0035,2.9999999999999997e-05,6.2e-05,0.0013109999999999999,9.900000000000001e-05,0.00035,0.0,0.00035,0.00035,,0.0,0.0,0.00017,0.0005,0.00122,0.0,0.0073,7.000000000000001e-05,3e-06,0.0
21,"RESTAURANT,ITALIAN,CHS RAVIOLI W/ MARINARA SAU",67.29,7.07,5.7,1.45,18.5,1.2,4.5,0.086,0.47,413.0,53.0,,,2.556,1.733,0.56,427.0,"1 serving,  serving size varied by diameter and count of raviloi",,,0.0,0.12,0.00082,0.022,0.121,0.195,0.306,0.00074,0.000187,0.000204,,0.000102,0.000203,0.001328,8.999999999999999e-05,0.00028,,,,,3.6e-06,0.00039,0.0,0.0017,0.0,0.01885,0.00105,0.00047,,0.026
22,"SHEEPSHEAD,RAW",77.97,20.21,2.41,1.09,0.0,0.0,,0.031,0.75,100.0,30.0,,,0.609,0.728,0.518,85.0,3 oz,238.0,1 fillet,0.0,0.021,0.00046,0.032,0.313,0.404,0.071,0.00039,1.3e-05,0.000365,0.0,1e-05,4e-05,0.0015,0.0003,0.00015,0.0,0.00015,0.00015,,2e-05,0.0003,,,,,,,,0.05
23,"POPEYES,MILD CHICK STRIPS,ANALYZED 2006",45.18,19.2,13.01,3.29,19.31,0.8,0.0,0.062,1.06,,,,,5.442,6.201,1.257,54.0,1 strip,,,0.0,0.012,0.00091,0.026,0.265,0.269,0.922,0.0005899999999999999,0.000207,0.000197,0.0,0.00011999999999999999,0.000122,0.008317,0.000486,,,,,,1.1e-06,,,,,,,,,0.052
24,"CARL BUDDIG,SMOKED SLICED CHICK,LT&DK MEAT",68.2,17.9,10.1,3.1,0.7,0.0,,,,,,,,2.6,,2.1,57.0,"1 serving,  2 oz",71.0,1 package,0.0,0.124,0.00156,,,0.256,0.954,,,,,7.000000000000001e-05,0.00025,0.00674,,,,,,,,,,,,,,,,0.053
25,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,51.3,19.6,10.6,6.6,11.8,0.0,8.5,,,982.0,,,,7.1,,,28.0,1 oz,,,0.0,0.574,0.00014000000000000001,,1.024,0.345,1.586,0.00249,,,0.0001,,0.00065,,,,,,,,,,,,,,,,,0.042
26,"AUSTIN,PB & J CRACKERS,SANDWICH-TYPE",2.7,7.6,21.7,,65.7,2.0,16.7,,,,,,,4.5,5.9,9.6,39.0,1 package,,,0.0,,0.0031,0.011,0.117,0.066,0.582,,,,,0.00041,0.00026000000000000003,0.0035,,0.00107,,,,,,,,,,,,,,0.0
27,"SAUCE,DUCK,RTS",37.44,0.36,0.13,1.4,60.61,0.6,30.54,0.037,,168.0,8.0,0.0,0.0,0.051,0.018,0.027,33.0,2 Tbsp,,,0.0,0.011,0.00039,0.005,0.009,0.087,0.455,0.00020999999999999998,0.000429,1.3000000000000001e-05,0.0009,2.3e-05,1.4e-05,0.00023899999999999998,3.2e-05,2e-05,0.0,2e-05,2e-05,0.0017,0.0,0.0,0.0,0.001,0.0,0.0,1e-05,0.0002,3e-06,0.0
28,"LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN,1/8""FAT,CKD,RSTD",65.3,27.18,7.27,1.1,0.0,,,0.147,0.99,,,,,2.918,3.021,0.348,85.0,3 oz,246.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",29.0,0.008,0.00213,0.025,0.213,0.329,0.069,0.004860000000000001,1.4e-05,0.000115,,0.000135,0.00041999999999999996,0.005725,0.00046,,,,,,3.1899999999999996e-05,,,,,,,,,0.083
29,"BEEF,CHK EYE RST,BNLS,A BF RST,LN & FAT,0"",ALL GRD,CKD,RSTD",60.3,24.63,15.29,0.94,0.0,0.0,0.0,0.071,0.678,22.0,7.0,0.1,5.0,6.354,7.243,1.168,85.0,3 oz,609.0,1 roast,7.0,0.018,0.00222,0.02,0.187,0.308,0.076,0.00848,1.2e-05,0.000252,0.0,7.199999999999999e-05,0.000178,0.004368,0.00038,6e-05,0.0,6e-05,6e-05,0.0725,3.0099999999999996e-05,7e-05,0.0,0.0,0.0,0.0,0.0,0.00011,1.6e-05,0.083
30,"PORK,GROUND,96% LN / 4% FAT,CKD,CRUMBLES",61.03,30.55,7.15,1.49,0.0,0.0,0.0,0.041,0.846,0.0,0.0,0.2,7.0,1.951,2.714,0.776,85.0,"3 oz, grilled patties",,,0.0,0.019,0.0010500000000000002,0.027,0.261,0.428,0.084,0.00256,1.3e-05,0.000467,0.0,0.0005,0.000484,0.01105,0.000717,0.0,0.0,0.0,0.0,0.0994,8.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00026000000000000003,0.0,0.078
31,"CARBONATED BEV,LO CAL,COLA OR PEPPR-TYPE,W/ ASPRT,WO/ CAFFEN",99.74,0.12,0.0,0.03,0.12,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1 fl oz,474.0,"1 can,  or bottle (16 fl oz)",0.0,0.003,2e-05,0.0,0.01,0.007,0.004,1e-05,0.0,1e-06,0.0,5e-06,2.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"CAMPBELL'S CHUNKY SOUPS,GRILLED STEAK- STEAK CHILI W/ BNS",80.0,6.53,1.22,1.22,11.02,2.9,3.67,,,306.0,,,,0.408,,,245.0,1 cup,,,0.0,0.016,0.00073,,,,0.355,,,,0.0005,,,,,,,,,,,,,,,,,,,0.006
33,"ALCOHOLIC BEV,WINE,COOKING",88.9,0.5,0.0,1.0,6.3,0.0,1.55,0.011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1 tsp,29.0,1 fl oz,0.0,0.009,0.0004,0.01,0.015,0.088,0.626,8e-05,,2e-06,0.0,0.0,1e-05,0.0001,2e-05,1e-05,0.0,1e-05,1e-05,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"ALCOHOLIC BEV,WINE,LT",92.23,0.07,0.0,0.13,1.17,0.0,1.15,0.011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1 fl oz,148.0,"1 serving,  5 fl oz",0.0,0.009,0.0004,0.01,0.015,0.088,0.007,8e-05,,2e-06,0.0,0.0,1e-05,0.0001,2e-05,1e-05,0.0,1e-05,1e-05,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"CANDIES,MARS SNACKFOOD US,SNICKERS BAR",5.55,7.53,23.85,1.57,61.51,2.3,50.47,0.27,0.59,161.0,46.0,0.0,0.0,9.069,7.875,3.014,57.0,"1 bar,  (2 oz)",15.0,"1 bar,  fun size",0.0,0.093,0.0007199999999999999,0.072,0.19,0.323,0.239,0.0025,0.00035,7.8e-05,0.0005,5.9999999999999995e-05,0.00013000000000000002,0.0036,8.999999999999999e-05,0.00027,6e-05,0.00021,0.00031,0.0385,1.6e-06,0.00045,0.0,6e-05,0.0,0.0,0.00016,0.0015,1.8999999999999998e-05,0.013
36,"MALTED DRK MIX,CHOC,PDR,PREP W/ WHL MILK",81.34,3.37,3.29,0.79,11.2,0.5,6.68,0.037,0.354,95.0,26.0,,,1.883,0.827,0.208,265.0,"1 cup,  (8 fl oz)",,,0.0,0.098,0.00020999999999999998,0.015,0.091,0.172,0.06,0.00041,8e-05,5.4000000000000005e-05,0.0001,5.4e-05,0.000184,0.000259,4.6e-05,9e-05,0.0,9e-05,9e-05,,4.2e-06,0.00026,0.0,5e-05,0.0,0.0,1e-05,5.9999999999999995e-05,3e-06,0.01
37,"FAST FOODS,HAMBURGER; DOUBLE,REG PATTY; W/ CONDMNT",50.51,14.8,15.1,1.57,18.02,,,0.09,0.36,25.0,,,,5.582,6.571,1.286,215.0,1 item,,,0.0,0.043,0.0025800000000000003,0.021,0.132,0.245,0.345,0.0027,0.00015099999999999998,0.00020899999999999998,0.0005,0.00016,0.00019,0.00313,0.00017,0.00039,0.00018,0.00021,0.00052,,1.55e-05,0.0,,,,,,,,0.048
38,"VEGETABLE OIL-BUTTER SPRD,RED CAL",44.7,0.0,53.0,2.3,0.0,0.0,0.0,0.001,,3577.0,819.0,0.0,0.0,17.88,20.77,11.15,13.0,1 tbsp,207.0,1 cup,0.0,0.006,4e-05,0.0,0.01,0.006,0.581,1e-05,,5e-06,0.0,0.0,1e-05,1e-05,0.0,1e-05,0.0,1e-05,1e-05,0.0065,0.0,0.00768,0.0,0.0061,0.0,0.0,0.0,0.0092,0.000611,0.054
39,"OSCAR MAYER,SALAMI (FOR BEER)",62.9,13.5,18.2,3.6,1.9,0.0,1.1,0.24,,0.0,,,,6.388,8.824,1.896,46.0,"1 serving,  2 slices",23.0,1 slice,0.0,0.009,0.0011799999999999998,0.018,0.231,0.212,1.231,0.00204,,,0.0,,,,,,,,,,,,,,,,,,,0.069
40,"BEEF,GROUND,93% LN MEAT /7% FAT,PATTY,CKD,PAN-BROILED",65.29,25.56,8.01,1.08,0.06,0.0,0.0,0.089,0.642,10.0,3.0,0.0,2.0,3.286,3.273,0.328,85.0,3 oz,,,,0.011,0.00282,0.024,0.22,0.371,0.072,0.0064,1.2e-05,0.00020899999999999998,0.0,4.2999999999999995e-05,0.000177,0.006175,0.000386,7e-05,0.0,7e-05,7e-05,0.08270000000000001,2.79e-05,3e-05,0.0,0.0,0.0,0.0,0.0,0.00013000000000000002,1.1000000000000001e-05,0.084
41,"LAMB,DOM,FORESHANK,LN&FAT,1/8""FAT,CKD,BRSD",56.8,28.37,13.46,0.91,0.0,0.0,,0.123,0.63,0.0,0.0,,,5.63,5.68,0.97,148.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",85.0,3 oz,56.0,0.02,0.00214,0.022,0.166,0.257,0.072,0.007690000000000001,2.5e-05,0.000306,0.0,5e-05,0.00019,0.00546,0.0001,0.00017,0.0,0.00017,0.00017,,2.28e-05,0.0,,,,,,,,0.106
42,"LOTUS SEEDS,RAW",77.0,4.13,0.53,1.07,17.28,,,0.094,0.228,13.0,1.0,0.0,0.0,0.088,0.104,0.312,28.0,1 oz,,,47.0,0.044,0.00095,0.056,0.168,0.367,0.001,0.00028000000000000003,0.000621,,0.0,0.000171,4e-05,0.000429,0.00016800000000000002,0.00028,0.0,0.00028,0.00028,,0.0,0.0,,,,,,,,0.0
43,"SILK VERY VANILLA,SOYMILK",87.41,2.47,1.65,0.65,7.82,0.4,6.58,,,412.0,,1.2,49.0,0.206,,,243.0,1 cup,,,0.0,0.144,0.00044,0.016,,0.123,0.058,0.00062,,2.2999999999999997e-05,0.0086,,0.00020999999999999998,,,0.0001,,0.0001,,,1.2299999999999999e-05,,,,,,,,,0.0
44,"SOUP,VEG BF,MICROWAVABLE,RTS,SINGLE BRAND",88.6,6.2,0.7,1.2,3.3,1.5,,,,650.0,33.0,,,0.221,0.223,0.112,292.0,1 serving,292.0,"1 package,  yields",0.0,,,,,,0.376,,,,,,,,,,,,,,,,,0.0039,,,,,,0.003
45,"OIL,SAFFLOWER,SALAD OR COOKING,LINOLEIC,(OVER 70%)",0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.203,14.355,74.623,13.0,1 tbsp,218.0,1 cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341,7.099999999999999e-05,0.0
46,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,ALL GRDS,RAW",72.58,22.19,4.31,1.09,0.0,0.0,0.0,0.099,0.656,0.0,0.0,,,1.476,1.816,0.185,28.0,1 oz,453.6,1 lb,13.0,0.02,0.0019199999999999998,0.024,0.214,0.35,0.059,0.00422,1.4e-05,0.00028199999999999997,0.0,8.999999999999999e-05,0.00014399999999999998,0.006660999999999999,0.000656,0.00013,0.0,0.00013,0.00013,0.0927,1.5700000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,1.2e-05,0.061
47,"KASHI,SWT & SOUR CHICK,FRZ ENTREE",68.0,6.0,1.13,,19.0,2.5,8.0,,,106.0,32.0,,,0.24,0.41,0.44,283.0,1 package,,,0.0,0.022,0.0008,0.032,0.104,,0.134,0.0007,,,0.017,,,,,,,,,,,,,,,,,,,0.011
48,"CEREALS RTE,QUAKER,QUAKER OAT CINN LIFE",4.3,9.14,4.1,3.44,79.02,6.3,25.18,,,35.0,2.0,0.0,0.0,0.77,1.37,1.3,32.0,".75 cup,  (1 NLEA serving)",,,0.0,0.387,0.023219999999999998,0.09,0.39,0.26,0.463,0.013779999999999999,,,0.0001,0.0013700000000000001,0.00155,0.01822,0.00183,0.01318,0.01299,0.00019,0.02227,,0.0,,,,,,,0.00055,,0.0
49,"DIGIORNO PIZZA,PEPPERONI TOPPING,THIN CRISPY CRUST,FRZ,BKD",42.38,13.22,12.86,2.88,28.67,2.8,,0.108,0.537,152.0,46.0,,,4.973,4.354,1.827,145.0,"1 slice, 1/4 of pie",548.0,"1 pie, 22.1 oz",0.0,0.209,0.0009,0.028,0.213,0.268,0.663,0.00164,0.000305,0.000241,0.0009,0.00014299999999999998,0.000125,0.002053,0.00016,,,,,,5.500000000000001e-06,0.00046,,,,,,0.0007700000000000001,5e-05,0.028
50,"CLAM,MXD SP,CKD,MOIST HEAT",63.64,25.55,1.95,3.74,5.13,0.0,,0.688,0.68,570.0,171.0,,,0.188,0.172,0.552,85.0,3 oz,190.0,20 small,0.0,0.092,0.00281,0.018,0.338,0.628,1.202,0.00273,0.001,0.00064,0.0221,0.00015,0.000426,0.003354,0.00011,0.00029,0.0,0.00029,0.00029,,0.0009889,,,,,,,,,0.067
51,"OSCAR MAYER,BOLOGNA (BEEF)",54.15,11.05,29.1,3.25,2.45,0.0,1.4,0.11,0.28,0.0,0.0,0.8,32.0,12.85,15.21,1.11,28.0,"1 serving,  (1 slice)",,,0.0,0.012,0.00136,0.014,0.109,0.168,1.179,0.0020299999999999997,,,0.0,5e-05,0.00011,0.00242,0.00017,0.00013,0.0,0.00013,0.00013,,1.4299999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,,,0.064
52,"CEREALS RTE,KELLOGG'S KRAVE CHOC CRL",3.5,7.0,11.1,2.3,76.1,9.9,35.7,,,6452.0,,3.3,133.0,2.5,2.8,5.2,31.0,".75 cup,  (1 NLEA serving)",,,0.0,0.061,0.0145,0.04,0.102,0.222,0.32,0.005,,,0.048,0.00121,0.00113,0.0161,0.00161,0.00267,0.00248,0.00019,0.00441,,4.8e-05,,,,,,,,,0.001
53,"BEEF,VAR MEATS&BY-PRODUCTS,TRIPE,RAW",84.16,12.07,3.69,0.55,0.0,0.0,0.0,0.07,0.227,0.0,0.0,0.0,0.0,1.291,1.533,0.18,28.0,1 oz,113.0,4 oz,0.0,0.069,0.0005899999999999999,0.013,0.064,0.067,0.097,0.0014199999999999998,8.5e-05,0.000125,0.0,0.0,6.4e-05,0.0008810000000000001,1.4e-05,5e-05,0.0,5e-05,5e-05,0.1948,1.3899999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.999999999999999e-05,0.0,0.122
54,"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",55.2,21.7,18.6,3.6,0.9,,,0.19,1.95,559.0,,,,5.1,8.7,3.6,,,,,0.0,0.016,0.00455,0.02,0.17,0.228,0.095,0.00383,5.9999999999999995e-05,,0.0022,0.00017999999999999998,0.00066,0.00426,0.00023,4e-05,,4e-05,,,4.83e-05,,,,,,,,,0.089
